Instance,MAE
1,3.692472242905103
2,4.663632428944817
3,9.157723347592109
4,7.488891266677648
5,9.321581574526567
6,8.826309848239951
7,7.7295682944756905
8,4.318456529034157
9,10.631797168230175
10,7.816104789685359
11,4.518063293734126
12,9.793496765364395
13,8.9989603702714
14,8.332486301141133
15,9.206117549178295
16,5.440291897852954
17,5.336918258724874
18,3.7815535386378127
19,9.157394163324971
20,9.996575517501787
21,4.535514927668308
22,9.898524134735558
23,5.690843746333338
24,9.09015449801461
25,9.85520376848038
26,9.804705329397665
27,7.369426298490283
28,7.329149459577202
29,9.515093047093343
30,8.981276863849091
31,10.18405659762792
32,6.413485525605789
33,5.150055724224392
34,7.695475905122599
35,9.496378408159693
36,3.6074228933009316
37,10.136722243131919
38,10.075200557760377
39,4.317210385352219
40,9.074474794350714
41,4.156181651659836
42,4.0840528927880015
43,4.823853912236124
44,9.118383816463977
45,6.850363929292333
46,9.667065475933489
47,7.659872255816764
48,5.613327749705717
49,10.459218017520636
50,10.2863644265153
51,10.208689411045619
52,4.035642094704963
53,8.991595342878684
54,6.893602040652687
55,8.53906073480032
56,6.259494450918616
57,6.365914392644438
58,10.095542595583192
59,7.159360127672104
60,5.030792397303911
61,7.845463559871349
62,4.530909890377088
63,5.50122774062342
64,4.996588937748354
65,5.1444507926235215
66,9.987553083274634
67,10.104837822802331
68,3.7118381848446482
69,9.7264579116948
70,4.712022352725748
71,4.892618832694224
72,3.914184686824763
73,4.724965473936758
74,5.959235852796071
75,10.278361056540668
76,10.235566751421418
77,5.827379097563893
78,9.369407856728287
79,4.195398333534992
80,4.550683970060379
81,3.5497132034328125
82,5.004125983672558
83,4.809247043424285
84,6.334960525156258
85,10.317063147766447
86,4.721055668112903
87,10.315528800503808
88,4.474655801364203
89,8.3502658601379
90,9.928614495425535
91,4.237163368458525
92,3.7224835133060417
93,8.794406690125015
94,8.681824238131812
95,9.387366719845119
96,10.353109328235034
97,10.407383806813455
98,7.7669931026850705
99,6.467403952517028
100,5.203246137811138
101,9.897050322415035
102,5.250263976668596
103,3.307605471958004
104,4.685332231546542
105,6.377058251361793
106,9.902136774479958
107,7.401569544154126
108,9.168605907074268
109,10.000205360803404
110,9.450382442418885
111,9.955178358790794
112,8.215985171064265
113,9.071369338176957
114,9.303695597275977
115,9.945287199775786
116,5.398540429005247
117,8.14354047907724
118,9.081952304863862
119,5.3480628193204085
120,8.768075818325523
121,10.277441065346984
122,10.142991566651252
123,9.441638413697996
124,4.34721004096409
125,8.1648348327109
126,3.961859313197761
127,3.2176656145248343
128,10.040815960213365
129,5.72482214045947
130,9.118333329514105
131,3.9760036232903477
132,9.599024082807274
133,4.758871083502541
134,6.176636087934806
135,9.815272062317403
136,9.14273260326956
137,9.929396852080574
138,4.359069213257446
139,3.668534718205643
140,3.9013975378794847
141,6.9949298933536825
142,9.058890637539973
143,5.325206117844983
144,8.008817106104859
145,5.2377459511693605
146,5.143881131429112
147,3.394237119947037
148,8.205181784443214
149,3.4435851185097657
150,3.634295823002947
151,10.500613238525146
152,6.198626945653299
153,3.5480501724513114
154,8.565243510048488
155,4.110747395035696
156,5.574574109103786
157,10.028419190461975
158,9.128765707916422
159,5.124882857642036
160,5.540094190081021
161,4.781114419379049
162,10.434208293487712
163,7.075585629160496
164,9.89142730300635
165,9.88647912312802
166,5.137300757149153
167,10.060527177808675
168,10.825496930619812
169,5.341535346948237
170,8.423809886454885
171,6.560217965567387
172,9.055381595879393
173,3.880704906888131
174,5.598637089206716
175,3.1962267657372077
176,8.052032314429391
177,3.8663567676167108
178,2.8968801370505175
179,7.423137925159648
180,5.102819705552581
181,4.880044107504876
182,5.182855538431026
183,6.988204147873358
184,9.61929187380012
185,10.234027274443669
186,4.356858128613927
187,4.989054274734186
188,7.2577101905404815
189,4.6766963459576445
190,7.720549863724311
191,5.435345025274464
192,5.326518150653929
193,3.663493953183764
194,9.739867220524088
195,5.4926994674797305
196,9.958582619734328
197,8.84344121869175
198,4.619211939074419
199,6.899054239587294
200,8.436662302853028
201,9.500643068247177
202,5.772970674280007
203,4.766512539692595
204,4.977611014992839
205,10.554855559416247
206,5.358130712981399
207,6.665477769396932
208,10.48782859031636
209,10.325354546477683
210,5.720358648374671
211,3.9738353430099163
212,3.816749402499557
213,4.8783492238236255
214,6.058432140942654
215,9.970667805943659
216,7.241611642955959
217,3.3554793101522313
218,10.525978909322196
219,10.090820278649499
220,8.509208775274635
221,9.702621991322928
222,9.29697472551715
223,4.660388957612288
224,9.246895837657535
225,3.8492222001005167
