Instance,MSE
1,18.397521549296215
2,25.44654073687926
3,152.94517422768823
4,87.38582058097533
5,159.9236216928296
6,149.94505752882648
7,91.46161569220271
8,23.155070193966097
9,228.86625178249562
10,99.4217210326952
11,29.49145974258796
12,193.9098780408818
13,153.52132725539013
14,108.84202314085927
15,151.82439465183197
16,37.749024842713176
17,36.863453062302234
18,21.07718273391644
19,163.90160586249593
20,202.0259602414403
21,29.947654702242037
22,174.8241256175013
23,53.54578648617917
24,139.56267130014515
25,187.0524204119544
26,180.58379993710108
27,78.85898381942759
28,82.66655203049616
29,164.3251454139702
30,148.00237405316042
31,196.66361059546026
32,72.1010123081149
33,39.841943400791045
34,95.75716478501637
35,193.4610495677964
36,17.134538304153157
37,200.83843155810362
38,201.28842414439416
39,22.366976190212117
40,151.35970474232525
41,27.60013201397989
42,19.84332948002537
43,28.799603929436625
44,144.3689848156786
45,68.54273913554913
46,171.35396923713304
47,123.44737720479957
48,50.725490207653394
49,215.4855311107124
50,196.62130024946737
51,214.8652023715592
52,25.568061283050813
53,172.31049880408293
54,78.15210028077506
55,147.6453374501962
56,60.070408412994226
57,83.32249140418082
58,201.54162876495914
59,112.94440277042519
60,31.92069308675472
61,120.33773063886333
62,25.707563828608087
63,55.65868344179122
64,37.95667051438239
65,34.34054881226836
66,193.5519848998333
67,190.76487335101706
68,23.087554207344837
69,186.44113864191493
70,32.22233068052399
71,29.143400510276695
72,23.89088749168221
73,24.879472426531844
74,51.53799304632535
75,203.66117547383172
76,219.73398555074763
77,70.00398469651513
78,176.4556223530644
79,27.513165251005187
80,26.38759252325379
81,19.407107187324307
82,44.88864336093473
83,29.301985422876484
84,72.89539204422537
85,200.97807257317857
86,27.821008021300184
87,197.9941665724746
88,35.25837146400381
89,128.90466501456794
90,192.10878735060803
91,25.486881075184087
92,16.310073109855956
93,144.21783617195
94,137.91479538287948
95,150.2672437277711
96,212.55212845671772
97,201.61224095238728
98,108.57851494185932
99,69.2823313952041
100,43.85491100168418
101,185.65610052395127
102,61.2852614993777
103,15.042477598968263
104,28.896257090137567
105,88.49926198743624
106,176.32503214831317
107,121.23996957701065
108,159.66068311593608
109,178.70902274057138
110,160.78127882618654
111,184.49623594760442
112,110.15245730350564
113,142.63906633448525
114,155.04033703151927
115,210.47722786509382
116,52.105003687577145
117,111.19074888460693
118,139.98298496587168
119,46.306277903369256
120,133.7617660074033
121,203.18159114328674
122,214.42271845819403
123,165.28883384859955
124,27.495257366680878
125,105.32366193808444
126,22.36186610427438
127,13.01920475711219
128,185.5182915632203
129,49.697977140930476
130,140.17946422726337
131,18.689317537579644
132,174.85943451879328
133,40.856607761663604
134,51.40992639616929
135,184.70613954413545
136,141.91021547430879
137,187.5169353682561
138,30.199508615331627
139,16.753824391146324
140,22.438036883824306
141,69.39502657634978
142,139.1556436559702
143,50.448650269638364
144,103.24854397831295
145,46.465014258007294
146,45.232591531908575
147,17.040090927734486
148,129.1616074290716
149,15.653554347510854
150,19.58405695719461
151,213.16084851591532
152,62.64767591123771
153,19.78230351461828
154,146.14034449479684
155,20.81123442801328
156,49.81752013683741
157,188.34095537287615
158,142.39096518046756
159,47.628356597906134
160,55.47076718797183
161,43.922597485950185
162,224.3111316016641
163,75.1031833327268
164,203.59917916035474
165,182.77419201102828
166,35.04469850651406
167,184.84242884671391
168,233.15041551667082
169,63.55891884125472
170,125.93729857797545
171,71.3052785994761
172,160.38763504646658
173,23.790956812230547
174,44.15543192139202
175,12.511853719191555
176,141.67196605703424
177,23.800514961339854
178,11.572655759381966
179,83.72199078071442
180,45.4200817719838
181,42.16059458118223
182,48.551384809790115
183,100.50035516330452
184,162.95420985097402
185,208.01779866046363
186,30.537752561457854
187,30.47888946002844
188,76.03228091659068
189,39.982284072850156
190,100.38146351346029
191,45.09524091255967
192,43.62743690042237
193,22.018488231845478
194,192.32534171679902
195,39.1248883233773
196,198.72420626963253
197,155.00137043234162
198,43.18366850342607
199,84.87366765899633
200,128.8241332020232
201,173.46097685463943
202,57.37893421960083
203,36.441993695459495
204,45.62049451999158
205,215.9176036682776
206,44.19427965750278
207,62.72065772375091
208,215.71827272461482
209,212.98570616231325
210,65.33687560389934
211,24.854887884680537
212,21.39870952139692
213,30.00510129567232
214,68.39099130072638
215,177.91062784419213
216,77.0544529373158
217,13.538184912292737
218,212.13069508888535
219,193.5974179077704
220,162.91281322112948
221,191.01491465271067
222,150.34491134075103
223,33.392346989810584
224,178.5487542481711
225,21.40963408162501
226,111.16031009751636
227,29.935824705069667
228,39.48290727231592
229,52.86389872769761
230,58.99738741473908
231,152.12964815861747
232,49.22868195809266
233,224.85084787543488
234,57.43556979441973
235,183.2975458487249
236,16.17437434622428
237,43.72027155743522
238,16.004567397286454
239,67.00207021769589
240,209.2130941767547
241,30.085898129778418
242,13.538232097590736
243,200.84535891447578
244,85.40882600944133
245,102.62096091184178
246,81.64179346653191
247,176.98064802667815
248,50.37163486901145
249,135.86392775720267
250,15.183174380345847
251,40.278619265156316
252,188.51343652234826
253,31.566168390574063
254,199.0066120229724
255,41.862855704396246
256,174.15519154581216
257,30.035638969202253
258,32.58549952111484
259,143.03060466813903
260,127.23697212886087
261,118.43494153100885
262,52.023011747022395
263,150.25779306699192
264,29.67722908655791
265,39.7493040009285
266,197.68808646436318
267,104.60988115558844
268,206.49243085307867
269,174.21134671669105
270,21.104092568114137
271,79.17144416628915
272,82.88828174078479
273,87.79396454477393
274,138.2885355785874
275,65.72691787778622
276,47.73271632713258
277,65.98828314458576
278,81.00539153733082
279,144.45389922760907
280,168.79335352961309
281,75.20163455668738
282,129.89092753567394
283,61.24675934943733
284,99.50712064890494
285,75.14803988782073
286,96.4545258541046
287,142.26990196185798
288,53.553874551562814
289,57.10271082248115
290,18.05357155665533
291,217.9724836743353
292,154.86375254275467
293,16.4354468898758
294,14.004054473239238
295,45.22486012422709
296,167.52451184889722
297,154.04351591595892
298,70.61299859326544
299,31.459871750432374
300,201.1621966572767
301,110.33447419009768
302,192.84874644318555
303,187.0699228059176
304,113.54324955542556
305,34.465391156027124
306,26.69802614564451
307,55.81082632960287
308,44.43072489319311
309,112.79281668312167
310,45.98512804781145
311,137.60444731567242
312,61.812959148088815
313,96.82507642823316
314,205.34975465384593
315,166.87440468282378
316,42.982496505576016
317,49.81433935282075
318,36.107948451164866
319,20.72025166943015
