Instance,WS10M_RANGE_Actual,WS10M_RANGE_Predicted
251,3.3,2.3434350108538253
252,2.38,1.6901097492035306
253,4.52,3.2095014074544292
254,3.24,2.300757231846241
255,3.73,2.64885221100933
256,4.38,3.1101369900465112
257,5.4,3.8342331372473804
258,3.81,2.7055852477422646
259,4.849999999999999,3.443880428759586
260,2.94,2.087761639141783
261,3.02,2.1445972187306057
262,3.8900000000000006,2.7623926623864716
263,4.59,3.259103403955147
264,3.24,2.300844669423222
265,4.09,2.9044707971511654
266,2.99,2.123230089479965
267,2.74,1.9457941370436558
268,4.29,3.0462550084605735
269,2.96,2.1019093751179505
270,4.43,3.1458736366472424
271,4.21,2.989591657424308
272,4.83,3.429493519114886
273,3.54,2.5138365789604267
274,4.11,2.918387644496928
275,4.26,3.0251594574838183
276,4.92,3.493569419489006
277,4.51,3.202318588977425
278,3.32,2.357581024955587
279,3.36,2.386031314781001
280,2.55,1.810825712674134
281,4.35,3.0889625737883932
282,3.17,2.251096412198381
283,4.19,2.975451992141805
284,3.9900000000000007,2.8331679141414225
285,3.41,2.4213590873707544
286,3.91,2.7765520145218727
287,3.48,2.471233482535715
288,4.929999999999999,3.5005860510404467
289,5.23,3.713576677481135
290,4.19,2.9754363025502397
291,3.77,2.6771026217812097
292,3.31,2.3504357677562697
293,4.04,2.868643507466187
294,5.279999999999999,3.7493144343646736
295,4.24,3.0107861455033054
296,4.27,3.0321211078595676
297,4.5,3.195325174264849
298,3.8900000000000006,2.7621267901091455
299,4.13,2.932464915028687
300,1.93,1.3705134195244104
301,4.26,3.0249062250705387
302,4.09,2.9041989683063876
303,3.14,2.2297259079781395
304,3.31,2.3502893418241153
305,5.71,4.054446856713066
306,4.51,3.202298789085998
307,4.6,3.2664181992906878
308,3.53,2.506723661091225
309,4.23,3.0035868114638586
310,3.8900000000000006,2.7622307880605566
311,2.47,1.7540273033699567
312,1.69,1.2001540467260097
313,4.49,3.1881121220382016
314,4.63,3.2876279013033494
315,3.38,2.400161176323358
316,4.07,2.890079532518399
317,4.34,3.0819170661698614
318,5.039999999999999,3.5788281044925196
319,5.69,4.0400386280603335
320,3.9299999999999997,2.7907693697080176
321,4.52,3.2096002404833497
322,3.55,2.520944853036958
323,3.47,2.4640710301187805
324,4.01,2.8474585272171185
325,2.72,1.9316403034012306
326,3.12,2.2155755791289096
327,2.93,2.0805884308908413
328,4.07,2.890123737452823
329,5.429999999999999,3.8554673318731147
330,3.8199999999999994,2.7126115412711425
331,4.01,2.8473761556996644
332,5.159999999999999,3.663794665239857
333,3.19,2.2651782172467105
334,4.749999999999999,3.3728079936884683
335,4.68,3.3231901650940907
336,3.37,2.393107346323128
337,4.28,3.0393657404442083
338,3.05,2.1658930918540555
339,4.25,3.0178362098069074
340,3.5,2.4854632198150783
341,4.14,2.939730770179776
342,3.03,2.1517270112141187
343,4.02,2.8546852496852657
344,4.1,2.9114041931491754
345,4.58,3.252343591787946
346,4.3,3.053348812968453
347,3.64,2.5848558673862874
348,3.6,2.5562377779997045
349,3.39,2.4071814415911867
350,3.67,2.6061739139770563
351,4.47,3.1740693727827725
352,3.39,2.407300625605294
353,3.01,2.137424178932006
354,2.99,2.1233315607040613
355,3.8299999999999996,2.719622862883599
356,3.44,2.4425746862159783
357,3.11,2.2084495607221726
358,4.14,2.9397834170862
359,4.03,2.861832793639975
360,4.3,3.0535233069347063
361,5.549999999999999,3.9407634287093267
362,3.4,2.4144749272528667
363,2.31,1.6402971459795554
364,4.07,2.890148880336577
365,4.04,2.868772875505182
366,4.49,3.1881533467290724
367,4.52,3.2094020073649565
368,3.32,2.357580494062166
369,4.58,3.2522074324301613
370,3.59,2.5493598845459213
371,5.5,3.905142634059678
372,4.39,3.1172159441090495
373,4.36,3.0960567980420817
374,5.059999999999999,3.5928754050971166
375,5.419999999999999,3.848733256357013
376,6.08,4.317012321456294
377,3.84,2.7267156906433048
378,3.74,2.6557630118905613
379,5.33,3.784627957639634
380,3.38,2.3999614698207306
381,4.33,3.074868003948921
382,2.86,2.030986498726854
383,4.8,3.4083406237515907
384,4.24,3.0108404254247256
385,4.11,2.918365416629295
386,4.47,3.173947342752144
387,3.15,2.236876480441494
388,3.29,2.3362444819820682
389,2.76,1.9599192448861473
390,3.9900000000000007,2.833271199991481
391,4.57,3.2450127952760206
392,4.83,3.42956276515811
393,5.87,4.167923478074619
394,4.48,3.181035424061407
395,4.64,3.2949688409312343
396,4.54,3.2236475467761956
397,3.9800000000000004,2.8260118752944603
398,3.69,2.620313179421817
399,4.06,2.88298317344507
400,3.35,2.378908128763568
401,3.41,2.4213946007437284
402,3.96,2.8118460110914687
403,4.06,2.8829123582185283
404,4.08,2.897226008071106
405,3.9199999999999995,2.7835852330590836
406,4.02,2.854682631917322
407,3.52,2.499624942230977
408,6.48,4.6009391902116175
409,2.66,1.888950436540245
410,4.03,2.8616860232802606
411,3.74,2.655740319937044
412,3.13,2.2226618232347843
413,3.6,2.556451298325527
414,3.62,2.5704595941605426
415,3.53,2.506732580738422
416,1.9400000000000002,1.3776179014402574
417,4.23,3.0037372492894945
418,5.429999999999999,3.8555387339825637
419,4.6,3.2664379041443055
420,1.35,0.958688653262171
421,2.93,2.08063558733019
422,4.04,2.8689417341056034
423,4.86,3.4507695843077553
424,2.87,2.0380419414188156
425,3.65,2.591943221785728
426,4.67,3.3161215495967173
427,2.77,1.9670900143713843
428,2.63,1.8675517505087824
429,3.59,2.549387181715328
430,4.04,2.8687086198070904
431,5.459999999999999,3.8768999829883946
432,3.32,2.357588426209895
433,3.04,2.158758809868011
434,3.63,2.577805902633846
435,4.23,3.003828996464402
436,3.11,2.20849360838295
437,2.87,2.03797470206774
438,5.09,3.6142455369519624
439,3.46,2.456821865889276
440,4.95,3.5147685747344863
441,3.9,2.769536024067778
442,4.01,2.8472505514599376
443,3.9900000000000007,2.833347103049205
444,3.8800000000000003,2.7553109808889635
445,2.5,1.7752920621830863
446,2.57,1.825051991488287
447,3.41,2.421477971317647
448,2.38,1.6900978108996998
449,3.64,2.584783673627204
450,3.63,2.5778480899925063
451,4.48,3.1809625872535916
452,2.57,1.8249458046181555
453,5.15,3.656821482806299
454,3.9,2.769244192560426
455,4.52,3.2096617630488167
456,4.54,3.2236636017676155
457,3.04,2.15864583077203
458,3.1,2.2013924116984622
459,2.85,2.0238045474722397
460,3.78,2.684133561895623
461,3.95,2.804935520818466
462,3.9800000000000004,2.8262625218317723
463,2.3,1.6331970209462061
464,3.28,2.329242167456798
465,5.38,3.820021644954867
466,4.16,2.9537330827813966
467,3.32,2.357540292117121
468,4.3,3.0533656158851046
469,4.839999999999999,3.4366246996897423
470,6.75,4.792769970110565
471,5.79,4.111308536781275
472,5.159999999999999,3.664016308450704
473,6.17,4.380790613923901
474,3.61,2.563499977918829
475,3.81,2.705575123987289
476,2.68,1.903156617661986
477,4.63,3.28768564430246
478,2.06,1.462899055439031
479,4.8999999999999995,3.479421162029447
480,5.549999999999999,3.9407594720250794
481,3.68,2.6131278645875446
482,5.659999999999999,4.018749107861291
483,2.81,1.9954919562361455
484,3.55,2.5209513955486695
485,4.59,3.25927336035275
486,3.54,2.5138932751569736
487,3.1,2.20146361177761
488,2.94,2.0876996458025836
489,4.86,3.451043592623422
490,3.28,2.329045468531828
491,2.7,1.9173881206153987
492,3.02,2.1446170364095343
493,4.66,3.309004951566444
494,3.11,2.2085531104945324
495,4.58,3.2522233298818684
496,3.7,2.627320260456479
497,3.59,2.5493596112198333
498,2.24,1.5907014566598816
499,4.15,2.9469480566065283
500,2.97,2.1091074122625204
501,4.52,3.2094173988847507
502,4.01,2.847563568741779
503,3.04,2.158767826088858
504,4.91,3.486426731508427
505,5.019999999999999,3.564601554205751
506,3.42,2.4286614342812234
507,3.16,2.2440339037220762
508,3.48,2.4712473268462167
509,3.86,2.74111119320271
510,3.59,2.5491629503493893
511,5.47,3.8840698533246836
512,3.38,2.4002097095452424
513,3.23,2.2937510254364564
514,4.14,2.939770412320526
515,3.51,2.4926014404924124
516,2.64,1.8747083796569106
517,4.52,3.209657954598113
518,3.8299999999999996,2.7196898178443867
519,5.27,3.7420400162819734
520,4.15,2.9468264687474144
521,3.53,2.5067428621861905
522,3.61,2.5636164887937194
523,3.9900000000000007,2.8332015260351158
524,2.96,2.1019530308120227
525,3.34,2.3717671481764
526,4.23,3.0035109403981988
527,4.24,3.010805173328396
528,5.859999999999999,4.160812321512003
529,3.19,2.265379433458701
530,3.39,2.4071885435696294
531,2.94,2.0876847863769146
532,3.62,2.570678201634741
533,3.42,2.4284745868514985
534,3.57,2.535252928765279
535,5.73,4.068737389019151
536,4.52,3.2094756040681562
537,5.079999999999999,3.606997141887323
538,4.16,2.9541217083736946
539,2.85,2.023982845545138
540,3.9900000000000007,2.8333169732770327
541,3.53,2.5066529708701633
542,3.07,2.180064621206851
543,4.08,2.89706164040715
544,4.37,3.1029462278075495
545,4.02,2.8545159108757754
546,3.47,2.463930839739385
547,5.169999999999999,3.671130391799007
548,4.44,3.1527586649890225
549,3.28,2.329281103356467
550,5.339999999999999,3.791595825186561
551,4.72,3.351453310306612
552,5.139999999999999,3.649633201733632
553,5.78,4.104198437958884
554,3.15,2.236872213105744
555,4.1,2.911304728596171
556,2.73,1.9385868982886494
557,3.73,2.64888815450521
558,2.16,1.5338845392879412
559,3.9900000000000007,2.8333231260982914
560,5.249999999999999,3.7277899272078394
561,3.71,2.6343972028593687
562,4.879999999999999,3.465366842658713
563,2.36,1.6759181769840106
564,3.28,2.3291674634182487
565,5.59,3.969066229888825
566,3.57,2.5350259613953234
567,4.41,3.1314728991768117
568,3.9199999999999995,2.7834818573685536
569,4.839999999999999,3.436874951725805
570,4.19,2.9753265943657103
571,3.54,2.5138068823696176
572,3.14,2.2297670751478678
573,3.8299999999999996,2.719801336521437
574,4.71,3.344395647032241
575,2.95,2.0947512774165506
576,2.91,2.0664865513859154
577,3.38,2.4003200278647054
578,5.38,3.819997929803321
579,3.47,2.4641862090113094
580,4.41,3.131351786792551
581,4.38,3.110153245093169
582,5.2,3.692209935949066
583,4.25,3.0176942319659688
584,3.71,2.634490493364568
585,2.85,2.0238626255407675
586,3.71,2.634356371837474
587,3.48,2.4711567523943594
588,4.22,2.9964930159392305
589,5.519999999999999,3.919493681781627
590,3.27,2.3220289640894296
591,4.56,3.2380620126228883
592,4.83,3.429571738920011
593,4.74,3.3657237123107095
594,3.08,2.1870937845081357
595,5.0,3.550236282582412
596,2.27,1.611943414855629
597,4.52,3.2097522514672243
598,3.72,2.6416381294513807
599,4.55,3.23078030469099
600,3.2,2.2722461569237895
601,4.23,3.00354306734038
602,5.59,3.9690146865924474
603,2.89,2.0522854318291626
604,3.38,2.3999654413336753
605,2.06,1.4628701299394637
606,4.789999999999999,3.4012393809120973
607,3.68,2.613041131363807
608,3.35,2.3789834722885534
609,2.74,1.9457032204291187
610,5.159999999999999,3.6639150512551573
611,3.53,2.5066462589594614
612,5.129999999999999,3.6427086374405215
613,4.929999999999999,3.5006010086365436
614,3.07,2.1801392631783223
615,4.42,3.138575028219649
616,3.08,2.1872016034199038
617,4.82,3.4224889177995053
618,4.58,3.2523123197622885
619,3.12,2.2154419622509374
620,3.1,2.201442868779952
621,3.58,2.5420952546285176
622,3.11,2.2083062778240214
623,2.33,1.6546335460261132
624,4.4,3.1242719817142355
625,4.53,3.216568904242364
626,3.71,2.6344557140160423
627,4.91,3.486293844296322
628,4.06,2.882874660659535
629,3.8900000000000006,2.762150112170824
630,2.88,2.0451863913131123
631,4.11,2.918441604875933
632,2.86,2.0308863216932105
633,3.24,2.300877902574985
634,5.03,3.571481715225188
635,3.9800000000000004,2.8262314271431914
636,2.48,1.7611487495510265
637,3.78,2.6840736164127
638,5.599999999999999,3.9762864645363925
639,3.8800000000000003,2.7552761261783423
640,2.75,1.9528677492041906
641,3.55,2.520935813386786
642,3.8,2.6985935483139323
643,2.93,2.080710616835687
644,2.24,1.5907275875827682
645,3.52,2.499463582924503
646,3.74,2.6558816613272342
647,3.28,2.329089306733655
648,3.4,2.41434246688497
649,2.15,1.526845699577765
650,4.05,2.875946027395148
651,3.4,2.4144108926663987
652,3.13,2.2227345473604143
653,3.91,2.7766628953129224
654,1.75,1.2427937455000284
655,3.18,2.2582258355814524
656,3.8800000000000003,2.755150872607328
657,3.57,2.5350541251583203
658,5.419999999999999,3.8485780424421074
659,4.849999999999999,3.4436836454139503
660,3.61,2.5633886328806006
661,3.37,2.3931087466577834
662,3.8299999999999996,2.7196835072153362
663,2.94,2.0878393519523146
664,4.01,2.8474459736477034
665,3.91,2.7765932699073095
666,4.02,2.8544623795363693
667,4.15,2.946828673270643
668,4.46,3.166712844822006
669,4.23,3.0038615658811123
670,2.52,1.789578253325705
671,2.95,2.0948852011892236
672,3.03,2.1517751416308353
673,4.16,2.953946237383123
674,2.27,1.6120157119742964
675,2.4,1.704309124683337
676,5.349999999999999,3.798772936397431
677,3.24,2.300837375228489
678,3.07,2.180155166640808
679,3.5,2.485444957453783
680,4.67,3.3159388380714967
681,2.33,1.6545974174282736
682,3.71,2.634516922733589
683,4.769999999999999,3.3868440492186624
684,4.32,3.067430204705547
685,4.91,3.4862987108013757
686,3.85,2.73401090611523
687,4.24,3.010835142827375
688,3.48,2.4712314081242184
689,4.07,2.89011508763093
690,3.47,2.4639027521453034
691,4.94,3.507887308272609
692,4.989999999999999,3.5431268403983207
693,5.889999999999999,4.18217591826291
694,3.3,2.34350538500424
695,2.81,1.9954785477517152
696,4.73,3.3586500003663153
697,4.37,3.1030305589683307
698,4.39,3.117419021608482
699,3.37,2.3930787612072617
700,2.38,1.6900548572876115
701,4.4,3.124217343825273
702,5.4,3.8343693731311084
703,4.06,2.8828273594405207
704,2.9,2.059314787695585
705,4.71,3.344601092016078
706,4.17,2.9609638966815566
707,2.79,1.9812155026517002
708,3.56,2.5280277962141002
709,4.03,2.8618168625574687
710,3.49,2.4783193401466552
711,4.849999999999999,3.4436816816927993
712,4.01,2.847567339403918
713,3.23,2.293654144392582
714,5.929999999999999,4.210504916510598
715,4.42,3.138436065216333
716,5.259999999999999,3.7348771125221214
717,3.75,2.6628532198446835
718,2.35,1.668802082219544
719,4.959999999999999,3.5219059129373913
720,3.51,2.4924793639516043
721,3.36,2.385906276532856
722,4.08,2.89707675140844
723,3.59,2.549141315335727
724,3.97,2.8191416014600743
725,4.24,3.010936098647764
726,3.35,2.378764232808231
727,4.749999999999999,3.372874743246356
728,3.03,2.151611875752827
729,3.72,2.6413423972242005
730,4.22,2.9965592985334952
731,3.9199999999999995,2.7835585536105167
732,4.4,3.124540622267518
733,4.14,2.93990156714803
734,5.039999999999999,3.5786645126858185
735,3.67,2.6059937386009584
736,3.17,2.2511031417478455
737,2.54,1.8037326698893383
738,2.68,1.9031984708599552
739,3.81,2.705484698998834
740,4.47,3.1740387171137594
741,4.29,3.046346263383059
742,2.37,1.6830110732837922
743,3.45,2.449895792120063
744,5.159999999999999,3.6639717065889825
745,4.63,3.287522214465725
746,3.33,2.364703082110712
747,3.68,2.613058383386729
748,4.18,2.96835213325553
749,3.21,2.27951787810801
750,3.48,2.4709726966747643
751,4.869999999999999,3.458212961460597
752,2.96,2.101925904843175
753,5.1,3.6211760093786736
754,4.36,3.0962183881943126
755,4.53,3.216460290003369
756,4.879999999999999,3.465148089318856
757,4.91,3.4864063784228296
758,2.83,2.0095749814992123
759,4.18,2.9680539681607687
760,3.48,2.4712960543181683
761,4.31,3.060404984571989
762,4.25,3.0178031800277996
763,2.8,1.9883792357915524
764,4.3,3.05340521465186
765,5.18,3.6781644251755985
766,2.77,1.9670617557455852
767,3.34,2.371704949857011
768,4.74,3.3657506860336253
769,4.62,3.2804530409352792
770,5.24,3.7207498716947542
771,3.23,2.293733138728949
772,3.34,2.371874620808929
773,3.66,2.599095458134324
774,4.16,2.954003988229424
775,3.08,2.187280136453778
776,2.57,1.8250830367457753
777,3.35,2.3788563309242554
778,3.18,2.258201469537525
779,3.67,2.6062445335731055
780,2.42,1.7185136865694366
781,2.74,1.945721815680242
782,3.79,2.691427566146291
783,4.62,3.280590373834543
784,3.96,2.8120185971989224
785,5.129999999999999,3.6427264825996297
786,3.96,2.811890871044015
787,2.91,2.066443804749258
788,4.41,3.1313422589797018
789,2.92,2.0735265445892526
790,5.859999999999999,4.160815115938763
791,3.21,2.2795283572447858
792,3.1,2.2013740258816514
793,4.15,2.946763501487945
794,3.43,2.4357636137674614
795,4.42,3.138489503126904
796,4.68,3.323258891384444
797,3.78,2.6843709538521816
798,3.58,2.542313842136038
799,3.56,2.5280254661476897
800,3.84,2.72679285287068
801,4.2,2.982557904391718
802,3.51,2.4925550442777467
803,3.22,2.286572128575624
804,4.989999999999999,3.5432440274899495
805,4.72,3.3515216533927896
806,2.14,1.519682997636565
807,4.22,2.9967111117485525
808,3.68,2.6131274831213496
809,3.8800000000000003,2.755106255362611
810,4.879999999999999,3.4652149123014837
811,4.21,2.9894215399236215
812,5.15,3.6567258225016204
813,3.34,2.3717812486366614
814,3.58,2.542260422397151
815,3.56,2.527995575233937
816,3.84,2.726836858165129
817,4.32,3.067608238103311
818,4.18,2.9681820775238847
819,2.12,1.5054705399237178
820,3.5,2.4852581995890355
821,2.69,1.9103120124225312
822,4.07,2.8900436321301823
823,4.5,3.195223095494373
824,2.38,1.690158294696062
825,5.33,3.7846013164637715
826,3.77,2.6770530146713374
827,3.35,2.378830097462183
828,3.13,2.222635367213996
829,5.069999999999999,3.5999816495230594
830,4.31,3.0606387848441883
831,3.57,2.5351644406482072
832,2.43,1.725655727927801
833,4.94,3.5077416999038786
834,3.45,2.4499465897865402
835,2.57,1.8249075651729738
836,3.58,2.5421325690631305
837,4.19,2.975389011612125
838,3.36,2.3858497361250586
839,2.66,1.8888612086075713
840,3.77,2.6771255669276828
841,4.68,3.32306417629385
842,5.039999999999999,3.5788577630457983
843,4.42,3.138491470515972
844,3.8,2.698337337182609
845,5.87,4.1679920079367
846,3.91,2.776535863178628
847,4.779999999999999,3.393980219829494
848,4.68,3.3232155406463844
849,3.06,2.172997639295666
850,3.9800000000000004,2.8261161607098515
851,3.51,2.4925952145125936
852,3.44,2.4425381851026913
853,4.04,2.8687206169923485
854,5.049999999999999,3.585619384807771
855,3.61,2.563328254769916
856,4.02,2.8544329158516932
857,4.57,3.2450941746212196
858,2.19,1.5551281464581443
859,4.929999999999999,3.5006955473876253
860,2.87,2.0381047801272993
861,2.01,1.427322970031349
862,3.34,2.371759312917925
863,4.14,2.939677030787539
864,2.36,1.6759361930741048
865,2.26,1.6047875346028624
866,4.74,3.3656601697375828
867,3.22,2.286538546621799
868,4.26,3.025133709196639
869,3.68,2.6131357192839055
870,2.33,1.6546428459724656
871,2.99,2.123318010610081
872,4.66,3.3090010251165105
873,4.72,3.3514041569932296
874,3.97,2.8191525063858363
875,4.769999999999999,3.3870236430265996
876,2.84,2.0167757893086806
877,3.5,2.4853617811390727
878,3.64,2.5847314356756037
879,3.35,2.378847747049743
880,3.23,2.293708791413795
881,1.9900000000000002,1.4130987595833642
882,3.07,2.1801120100991147
883,3.96,2.81206554020158
884,2.84,2.0168396788231044
885,5.91,4.196230744328778
886,3.69,2.620283139559672
887,3.96,2.811982818239191
888,4.39,3.1170913923097956
889,4.06,2.8828685333722457
890,3.57,2.5351835725782754
891,2.43,1.7256963624186412
892,3.06,2.172877957377726
893,5.279999999999999,3.749140811059336
894,5.419999999999999,3.8485369080122207
895,3.12,2.2155967655730677
896,3.33,2.3647032513594786
897,4.37,3.1029597905855537
898,2.75,1.952903955543839
899,3.1,2.2013113898118384
900,3.07,2.1799813160105685
901,4.39,3.1171926097941576
902,4.969999999999999,3.5289486274000303
903,4.55,3.2308843214121414
904,3.39,2.407267190001257
905,1.62,1.1503840713677052
906,4.21,2.9892220314098843
907,3.95,2.8050392058006195
908,4.41,3.1317421800596605
909,3.36,2.38598030577913
910,4.82,3.4225752139507195
911,3.78,2.684002592374408
912,4.28,3.039328055610744
913,3.95,2.804798670903893
914,4.25,3.0177725711273653
915,4.9799999999999995,3.536273211062264
916,1.34,0.9515735758006061
917,3.16,2.244020262138215
