Instance,MSE
1,18.547930282874578
2,25.583066413043195
3,153.5190054292771
4,87.61160437945027
5,160.45116583796786
6,150.61112451798155
7,91.80769730507721
8,23.297569006121265
9,229.43156165718426
10,99.65426169041501
11,29.653959407135716
12,194.64357124337639
13,153.80250501900272
14,109.20490643215241
15,152.40040643268907
16,37.94473673806865
17,37.09739656076744
18,21.235229795396066
19,164.85657883262562
20,202.7759900131739
21,30.15357123278686
22,175.1317406543894
23,53.940638156078144
24,139.8578904570175
25,187.56369493250602
26,180.90767103043376
27,79.17046875213329
28,82.93847112294651
29,164.6589348628309
30,148.5795703745234
31,197.2109419774542
32,72.57327994007073
33,40.12716478172762
34,95.93254916013382
35,194.25675215639993
36,17.237783259274682
37,201.48189283834017
38,202.10498919346423
39,22.497109451459135
40,151.92077501698807
41,27.805013237130723
42,19.957392560098032
43,28.9941797708625
44,144.8162835914669
45,68.91979784992242
46,171.82415030586313
47,124.32804729397303
48,51.049601806310314
49,215.842312629705
50,196.65287996631784
51,215.16202406640068
52,25.781302309930766
53,173.16715041564237
54,78.48433860498325
55,148.52150837546688
56,60.350083057475565
57,83.99779307557414
58,202.17130460517308
59,113.61920853412356
60,32.107730250767766
61,120.84570062361085
62,25.858773190891355
63,56.104844280024246
64,38.154262135687965
65,34.54625985051049
66,194.05767338907222
67,191.44509392679288
68,23.23957269968969
69,187.03346990049772
70,32.4591764855567
71,29.29700454303902
72,24.04881452086356
73,24.94189366436683
74,51.813391806962954
75,203.92585068138092
76,220.0996776553815
77,70.41576823178774
78,177.2724380680887
79,27.7100640391681
80,26.572692232174248
81,19.580898027405173
82,45.15270133396502
83,29.497548585102777
84,73.164414907774
85,201.264546844568
86,27.992724220082646
87,198.2285276575898
88,35.48091526408158
89,129.5229104156659
90,192.76990655598945
91,25.58135920061604
92,16.418750587000364
93,144.9010507485627
94,138.3152166598542
95,150.1488420761668
96,212.78117980354708
97,201.50292308043365
98,109.20395047336363
99,69.7142714697466
100,44.094162504719684
101,186.08484623833672
102,61.8589450492663
103,15.148947720290252
104,29.073329499002796
105,88.77831773913901
106,176.45308390473227
107,122.14392153773188
108,160.43974360963503
109,178.83905364765076
110,161.07665771401605
111,184.71105515048922
112,110.50046185160811
113,142.74492759571024
114,155.5697304058136
115,211.39386103451943
116,52.538154586406684
117,111.5059306630709
118,140.23875805265365
119,46.48315183692739
120,134.04824169289802
121,203.68032756009654
122,215.3983188524497
123,165.91898389482472
124,27.638673141059034
125,105.51489940713945
126,22.47888485640021
127,13.107540842004065
128,185.96673701314026
129,49.90144249918145
130,140.37340898964806
131,18.819854598600543
132,175.45499611263753
133,41.1971210064829
134,51.649123224572776
135,185.16136448497116
136,142.25259640608246
137,187.75513883726543
138,30.38965767780492
139,16.881089346424304
140,22.5786322231943
141,69.72459910001825
142,138.98809602892294
143,50.78691468545108
144,103.51520168548309
145,46.79116795613637
146,45.52867968986114
147,17.158353429287832
148,129.84066414209033
149,15.728047883550182
150,19.74349037150684
151,213.68832678828383
152,63.10576293682939
153,19.92157476763684
154,147.04899783755067
155,20.927004931013073
156,50.19089540908007
157,188.8626670243399
158,142.3278682708507
159,47.89127319232505
160,55.855221661777385
161,44.25431472587442
162,224.61248624963386
163,75.42755930343544
164,204.2774739460722
165,183.4598675766218
166,35.232778294175496
167,184.75907078280048
168,232.97950284229785
169,64.00403765127017
170,126.39055583095852
171,71.62251674473072
172,160.8263778991748
173,23.96289174971181
174,44.419667282154684
175,12.603628367201424
176,142.22842476500855
177,23.985014819097916
178,11.649112098317316
179,83.97380639571118
180,45.76720938427592
181,42.483643248200515
182,49.01283017789053
183,101.07268332054686
184,163.18437876225784
185,208.4726475207087
186,30.67694363731152
187,30.58284222446942
188,76.30256774857861
189,40.261662291859466
190,100.74799954202818
191,45.40950875676009
192,43.929836777660114
193,22.200946907533915
194,193.11881136219475
