Instance,MSE,MAE,RMSE,R2
1,18.547930282874578,3.705788293019474,4.3067308115175456,0.7210085183441763
2,25.583066413043195,4.673011134080987,5.05797058246123,0.46183688914077503
3,153.5190054292771,9.175508361065132,12.390278666328578,0.8400931901298716
4,87.61160437945027,7.500614084429555,9.360107070939428,0.7986155247950136
5,160.45116583796786,9.337944961783835,12.666931982053423,0.8417581679399182
6,150.61112451798155,8.845703129736341,12.272372407891702,0.8490854601227671
7,91.80769730507721,7.7451156895799835,9.581633331800859,0.7921292901386033
8,23.297569006121265,4.330320240140241,4.826755536187975,0.6037847866675421
9,229.43156165718426,10.64554606751288,15.146998437221292,0.857060019644264
10,99.65426169041501,7.827271408257796,9.982698116762572,0.8132308424263124
11,29.653959407135716,4.530316656044444,5.445544913701081,0.764847076585895
12,194.64357124337639,9.812300200508583,13.95147200991266,0.8564502764495577
13,153.80250501900272,9.009765050002036,12.40171379362557,0.8463575392109859
14,109.20490643215241,8.347763737001708,10.450115139660062,0.8016182848920518
15,152.40040643268907,9.223947364485502,12.345055950974425,0.8362340902196119
16,37.94473673806865,5.4537415886470155,6.159929929639512,0.6628913114259937
17,37.09739656076744,5.352991179489297,6.090763216606557,0.6777509500722074
18,21.235229795396066,3.7942644751277737,4.608169896542017,0.7750049290139025
19,164.85657883262562,9.182725590557068,12.839648703629924,0.8512158429571831
20,202.7759900131739,10.015533848393595,14.239943469451482,0.8563394217156092
21,30.15357123278686,4.550022510537339,5.491226751171987,0.7685573203765671
22,175.1317406543894,9.910115003593091,13.23373494726222,0.835902670649552
23,53.940638156078144,5.710042454403115,7.344429055827154,0.8162169272539799
24,139.8578904570175,9.102199241175292,11.826152817252849,0.8234711323653034
25,187.56369493250602,9.869978754852896,13.695389550228429,0.8493839836353383
26,180.90767103043376,9.81595035138597,13.45019223024094,0.8456012465253785
27,79.17046875213329,7.3844945048803226,8.89777886621899,0.7691470544710975
28,82.93847112294651,7.342957216765394,9.107056117261303,0.7940631510186377
29,164.6589348628309,9.527474813884426,12.83194976855937,0.8389370881369294
