DATE,DISTRICT,LAT,LON,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
10/14/1987,Kathmandu,27.7,85.3,0.0,84.17,10.9,73.07,17.53,11.63,22.59,13.48,9.11,16.26,1.51,3.37,0.26,3.12,1.5,3.0,0.08,2.92
10/15/1987,Kathmandu,27.7,85.3,0.0,84.27,9.72,65.77,17.42,9.35,22.56,13.57,8.99,15.79,1.56,2.93,0.38,2.55,1.56,2.77,0.29,2.49
10/16/1987,Kathmandu,27.7,85.3,0.0,84.28,9.31,63.53,17.29,8.49,22.65,13.5,9.15,15.49,1.75,3.79,0.29,3.5,1.85,3.49,0.46,3.03
10/17/1987,Kathmandu,27.7,85.3,0.07,84.26,10.52,75.8,16.41,10.84,19.37,14.71,4.66,15.06,1.34,2.79,0.56,2.24,1.56,2.61,0.78,1.83
10/18/1987,Kathmandu,27.7,85.3,1.21,84.18,9.92,72.95,16.08,10.6,18.89,13.88,5.01,15.18,1.12,2.13,0.18,1.95,1.31,2.33,0.21,2.12
10/19/1987,Kathmandu,27.7,85.3,61.3,83.91,11.82,92.08,15.11,13.32,18.08,12.79,5.29,15.15,2.14,3.93,1.32,2.61,3.17,4.23,2.25,1.98
10/20/1987,Kathmandu,27.7,85.3,27.48,83.78,11.96,90.97,15.46,12.95,19.01,11.02,7.99,14.99,1.9,3.27,0.43,2.84,2.3,4.49,0.41,4.07
10/21/1987,Kathmandu,27.7,85.3,0.02,83.95,8.27,72.16,13.4,6.98,19.21,8.26,10.95,11.55,1.83,3.37,0.53,2.84,1.98,3.04,0.75,2.29
10/22/1987,Kathmandu,27.7,85.3,0.0,84.18,8.66,74.63,13.63,7.92,18.91,9.94,8.98,11.68,1.63,3.59,0.42,3.17,1.62,3.02,0.48,2.53
10/23/1987,Kathmandu,27.7,85.3,0.0,84.28,9.02,77.71,13.65,8.66,18.81,9.94,8.86,12.19,1.68,3.51,0.35,3.16,1.65,2.91,0.26,2.65
10/24/1987,Kathmandu,27.7,85.3,0.0,84.39,9.46,77.2,14.5,9.46,19.72,10.9,8.81,12.74,1.75,3.56,0.44,3.12,1.77,2.97,0.63,2.34
10/25/1987,Kathmandu,27.7,85.3,0.0,84.39,9.53,78.17,14.42,9.57,19.56,10.94,8.62,12.9,1.75,3.55,0.44,3.12,1.79,2.95,0.67,2.28
10/26/1987,Kathmandu,27.7,85.3,0.0,84.31,9.62,80.96,14.02,9.7,19.37,9.86,9.51,12.99,1.8,3.53,0.51,3.02,1.85,2.95,0.71,2.24
10/27/1987,Kathmandu,27.7,85.3,0.0,84.27,9.11,78.24,13.69,8.75,19.26,9.48,9.78,12.55,1.96,3.89,0.73,3.15,2.04,3.57,1.03,2.54
10/28/1987,Kathmandu,27.7,85.3,0.0,84.24,8.6,72.83,13.92,8.03,19.42,10.41,9.01,11.91,1.79,3.47,1.0,2.47,1.88,3.01,1.13,1.88
10/29/1987,Kathmandu,27.7,85.3,0.0,84.18,9.27,78.02,13.99,9.54,18.72,10.64,8.08,12.23,1.66,4.07,0.27,3.8,1.66,3.48,0.32,3.15
10/30/1987,Kathmandu,27.7,85.3,0.27,84.17,9.64,83.08,13.62,9.84,18.16,10.5,7.67,12.26,1.64,3.62,0.19,3.43,1.69,3.13,0.32,2.82
10/31/1987,Kathmandu,27.7,85.3,0.89,84.15,9.47,81.38,13.66,9.39,18.96,10.15,8.81,12.34,1.44,3.67,0.19,3.48,1.5,3.37,0.32,3.05
11/1/1987,Kathmandu,27.7,85.3,0.04,84.06,8.91,76.24,13.72,8.26,19.22,9.22,10.0,12.21,1.8,3.9,0.19,3.7,1.9,3.55,0.18,3.37
11/2/1987,Kathmandu,27.7,85.3,0.0,84.25,8.32,70.35,13.95,7.6,19.4,9.67,9.73,11.95,1.72,3.23,0.35,2.88,1.79,2.77,0.43,2.34
11/3/1987,Kathmandu,27.7,85.3,0.0,84.35,7.82,66.18,13.96,6.59,19.54,10.47,9.07,11.49,1.54,3.44,0.34,3.1,1.61,3.05,0.54,2.51
11/4/1987,Kathmandu,27.7,85.3,0.0,84.42,7.7,64.11,14.23,6.41,19.99,10.35,9.64,11.61,1.8,3.3,0.52,2.78,1.94,2.94,0.73,2.2
11/5/1987,Kathmandu,27.7,85.3,0.0,84.36,7.03,60.58,13.69,5.04,19.44,9.21,10.23,11.08,1.86,3.56,0.76,2.8,1.96,3.15,1.02,2.13
11/6/1987,Kathmandu,27.7,85.3,0.0,84.14,6.83,59.03,13.61,4.79,19.23,10.12,9.11,10.57,1.64,3.92,0.42,3.5,1.68,3.49,0.53,2.96
11/7/1987,Kathmandu,27.7,85.3,0.0,84.23,6.17,55.75,12.94,3.24,19.71,7.6,12.11,10.35,1.58,3.23,0.45,2.78,1.55,2.8,0.43,2.37
11/8/1987,Kathmandu,27.7,85.3,0.0,84.35,6.18,51.17,14.31,3.29,20.88,9.25,11.64,11.12,1.76,3.3,0.18,3.12,1.81,2.89,0.29,2.61
11/9/1987,Kathmandu,27.7,85.3,0.0,84.25,6.83,54.0,15.0,4.56,20.65,11.33,9.32,11.46,1.55,2.97,0.52,2.45,1.61,2.57,0.72,1.85
11/10/1987,Kathmandu,27.7,85.3,0.0,84.0,6.85,56.99,14.16,4.88,19.78,10.28,9.5,11.13,1.82,3.61,0.79,2.82,1.92,3.07,1.03,2.04
11/11/1987,Kathmandu,27.7,85.3,0.0,84.06,6.89,58.03,13.98,5.21,19.43,10.36,9.07,10.97,1.55,3.65,0.24,3.41,1.56,3.09,0.19,2.9
11/12/1987,Kathmandu,27.7,85.3,0.0,84.36,7.52,60.2,14.82,6.33,20.34,11.7,8.64,11.74,1.64,3.44,0.31,3.13,1.71,2.89,0.5,2.39
11/13/1987,Kathmandu,27.7,85.3,0.0,84.35,5.86,46.32,15.02,2.19,21.83,10.72,11.11,11.68,1.45,3.34,0.03,3.31,1.51,3.14,0.3,2.83
11/14/1987,Kathmandu,27.7,85.3,0.0,84.23,6.27,53.52,13.82,3.14,19.52,10.46,9.06,10.76,1.53,3.42,0.27,3.15,1.62,3.15,0.46,2.7
11/15/1987,Kathmandu,27.7,85.3,0.0,84.23,5.57,49.71,13.13,1.64,19.2,9.6,9.6,9.93,1.73,3.46,0.76,2.71,1.8,3.13,0.95,2.18
11/16/1987,Kathmandu,27.7,85.3,0.0,84.2,5.62,50.5,13.03,1.94,19.23,9.16,10.07,9.75,1.53,3.29,0.4,2.89,1.6,2.72,0.58,2.14
11/17/1987,Kathmandu,27.7,85.3,0.0,84.25,5.48,49.83,12.86,1.64,18.67,9.5,9.16,9.41,1.43,3.24,0.54,2.7,1.47,2.71,0.62,2.09
11/18/1987,Kathmandu,27.7,85.3,0.0,84.29,5.4,49.96,12.6,1.46,18.45,8.78,9.67,9.14,1.42,3.41,0.48,2.93,1.52,2.99,0.74,2.25
11/19/1987,Kathmandu,27.7,85.3,0.0,84.24,5.17,46.7,12.96,0.93,18.91,9.57,9.34,10.0,1.61,3.69,0.54,3.15,1.78,3.34,0.64,2.71
11/20/1987,Kathmandu,27.7,85.3,0.0,84.1,4.46,42.32,12.17,-0.91,18.4,8.53,9.87,8.46,1.78,3.76,0.75,3.01,1.89,3.28,0.92,2.36
11/21/1987,Kathmandu,27.7,85.3,0.0,84.16,4.24,41.44,11.77,-1.42,17.64,7.77,9.88,8.13,1.48,3.42,0.4,3.03,1.45,2.77,0.49,2.28
11/22/1987,Kathmandu,27.7,85.3,0.0,84.39,4.72,43.43,12.71,-0.22,19.21,8.34,10.86,9.05,1.64,3.37,0.17,3.21,1.67,2.73,0.24,2.49
11/23/1987,Kathmandu,27.7,85.3,0.0,84.37,5.03,44.66,13.26,0.57,19.41,10.08,9.33,9.46,1.51,3.15,0.4,2.75,1.55,2.51,0.71,1.79
11/24/1987,Kathmandu,27.7,85.3,0.0,84.22,5.17,47.24,12.79,1.08,18.49,9.84,8.65,9.3,1.59,3.74,0.48,3.25,1.64,3.17,0.56,2.62
11/25/1987,Kathmandu,27.7,85.3,0.0,84.14,5.1,47.79,12.37,0.97,18.55,8.78,9.77,8.99,1.48,3.34,0.66,2.68,1.56,2.88,0.72,2.16
11/26/1987,Kathmandu,27.7,85.3,0.0,84.2,4.15,40.77,11.68,-1.81,18.14,8.04,10.1,8.06,1.74,3.46,0.79,2.67,1.94,3.02,1.11,1.91
11/27/1987,Kathmandu,27.7,85.3,0.0,84.1,3.56,34.16,12.04,-3.72,18.88,8.36,10.52,7.82,1.61,3.42,0.67,2.75,1.67,3.0,0.78,2.22
11/28/1987,Kathmandu,27.7,85.3,0.0,84.09,3.68,34.18,12.52,-3.32,19.18,8.6,10.58,8.2,1.35,3.09,0.53,2.56,1.39,2.59,0.68,1.92
11/29/1987,Kathmandu,27.7,85.3,0.0,84.26,3.95,35.07,13.24,-2.38,19.61,9.76,9.85,8.89,1.36,3.18,0.45,2.73,1.41,2.75,0.38,2.37
11/30/1987,Kathmandu,27.7,85.3,0.0,84.3,3.97,37.3,12.38,-2.37,18.92,8.52,10.4,8.22,1.49,3.53,0.48,3.05,1.55,3.03,0.54,2.49
12/1/1987,Kathmandu,27.7,85.3,0.0,84.34,3.97,35.68,13.08,-2.39,19.53,9.73,9.8,8.48,1.44,3.3,0.6,2.71,1.58,2.87,0.77,2.1
12/2/1987,Kathmandu,27.7,85.3,0.0,84.36,3.93,35.88,12.82,-2.42,19.88,9.3,10.58,8.69,1.54,3.14,0.42,2.72,1.68,2.92,0.54,2.38
12/3/1987,Kathmandu,27.7,85.3,0.0,84.29,3.94,36.2,12.73,-2.52,19.48,8.89,10.59,8.51,1.45,3.64,0.39,3.25,1.54,3.23,0.41,2.82
12/4/1987,Kathmandu,27.7,85.3,0.0,84.28,4.32,40.87,12.28,-1.27,18.77,8.65,10.12,8.44,1.47,3.52,0.34,3.18,1.56,3.05,0.43,2.62
12/5/1987,Kathmandu,27.7,85.3,0.0,84.24,4.7,46.62,11.52,-0.2,17.85,8.27,9.58,8.01,1.45,3.64,0.24,3.4,1.41,2.98,0.36,2.62
12/6/1987,Kathmandu,27.7,85.3,0.0,84.32,5.26,55.96,10.49,1.45,16.68,6.88,9.8,7.86,1.56,3.98,0.18,3.8,1.55,3.25,0.13,3.12
12/7/1987,Kathmandu,27.7,85.3,0.0,84.36,5.42,57.08,10.65,1.6,17.07,6.3,10.77,7.89,1.68,4.11,0.43,3.68,1.73,3.42,0.57,2.85
12/8/1987,Kathmandu,27.7,85.3,0.0,84.53,5.72,57.21,11.47,2.36,18.06,7.54,10.53,8.5,1.62,3.94,0.67,3.27,1.63,3.22,0.55,2.67
12/9/1987,Kathmandu,27.7,85.3,0.0,84.58,5.18,49.36,12.2,0.86,18.83,7.79,11.04,9.16,1.68,3.6,0.66,2.94,1.75,2.94,0.91,2.04
12/10/1987,Kathmandu,27.7,85.3,0.0,84.5,4.93,47.57,12.01,0.63,16.94,9.12,7.82,8.76,1.31,3.27,0.43,2.85,1.37,2.79,0.5,2.3
12/11/1987,Kathmandu,27.7,85.3,0.0,84.32,4.74,43.64,12.7,0.27,18.74,9.1,9.64,9.8,1.38,3.55,0.24,3.31,1.41,2.99,0.39,2.6
12/12/1987,Kathmandu,27.7,85.3,1.6,84.16,7.25,77.91,10.3,6.14,13.43,6.99,6.44,9.23,1.03,2.6,0.54,2.06,1.32,2.36,0.38,1.99
12/13/1987,Kathmandu,27.7,85.3,0.44,83.86,6.75,77.9,9.19,4.85,15.04,6.1,8.94,8.4,1.8,4.49,0.57,3.92,1.99,4.01,0.63,3.38
12/14/1987,Kathmandu,27.7,85.3,0.17,84.14,4.1,48.15,9.01,-2.18,16.68,3.98,12.71,6.67,1.7,4.01,0.69,3.32,1.79,3.85,0.73,3.12
12/15/1987,Kathmandu,27.7,85.3,0.0,84.49,3.14,35.29,9.73,-5.28,17.09,4.81,12.28,6.32,1.72,3.54,0.51,3.03,1.7,2.83,0.68,2.15
12/16/1987,Kathmandu,27.7,85.3,0.0,84.42,3.56,36.94,10.92,-3.68,18.24,7.16,11.07,7.21,1.79,3.83,0.59,3.24,1.93,3.27,0.75,2.52
12/17/1987,Kathmandu,27.7,85.3,0.0,84.37,3.8,42.23,9.88,-2.85,16.44,6.65,9.79,6.69,1.71,3.95,0.67,3.28,1.83,3.42,0.97,2.46
12/18/1987,Kathmandu,27.7,85.3,0.0,84.32,3.72,43.12,9.23,-3.26,16.29,5.68,10.61,6.26,1.84,4.48,0.71,3.77,2.03,4.23,0.87,3.36
12/19/1987,Kathmandu,27.7,85.3,0.0,84.56,3.2,37.52,9.12,-5.22,16.41,4.28,12.13,6.05,2.01,3.78,0.59,3.19,2.08,3.12,0.81,2.31
12/20/1987,Kathmandu,27.7,85.3,0.0,84.68,3.39,35.01,11.02,-4.53,18.88,5.84,13.04,7.34,1.99,3.7,0.64,3.05,2.16,3.2,0.67,2.53
12/21/1987,Kathmandu,27.7,85.3,0.0,84.8,3.87,39.16,11.36,-2.86,19.06,6.63,12.43,7.97,2.02,3.84,1.02,2.82,2.21,3.33,1.38,1.95
12/22/1987,Kathmandu,27.7,85.3,0.0,84.68,3.65,37.02,11.28,-3.36,18.39,7.37,11.02,7.64,1.92,3.95,0.87,3.08,2.06,3.38,1.31,2.06
12/23/1987,Kathmandu,27.7,85.3,0.0,84.45,3.67,39.08,10.51,-3.18,17.07,6.84,10.23,6.98,1.72,4.14,0.59,3.55,1.84,3.54,0.78,2.75
12/24/1987,Kathmandu,27.7,85.3,0.0,84.37,3.47,39.85,9.39,-3.98,16.24,5.52,10.72,6.31,1.67,4.01,0.68,3.33,1.68,3.4,0.65,2.75
12/25/1987,Kathmandu,27.7,85.3,0.0,84.68,2.58,29.2,9.64,-7.68,18.23,2.71,15.52,6.05,2.14,3.79,0.92,2.87,2.21,4.3,1.06,3.24
12/26/1987,Kathmandu,27.7,85.3,0.0,84.81,2.83,29.69,10.83,-6.52,17.74,6.67,11.07,6.28,1.7,3.77,0.85,2.92,1.79,3.17,1.1,2.07
12/27/1987,Kathmandu,27.7,85.3,0.0,84.67,3.16,33.6,10.6,-5.12,17.91,6.5,11.41,6.68,1.8,4.03,0.59,3.44,1.87,3.41,0.91,2.49
12/28/1987,Kathmandu,27.7,85.3,0.0,84.51,3.19,35.17,10.0,-5.03,17.15,6.22,10.92,6.3,1.82,4.09,0.79,3.3,1.91,3.48,1.06,2.41
12/29/1987,Kathmandu,27.7,85.3,0.0,84.45,2.8,31.49,9.68,-6.68,18.23,4.08,14.16,6.2,1.96,4.09,0.69,3.4,1.99,3.46,0.94,2.53
12/30/1987,Kathmandu,27.7,85.3,0.0,84.4,3.02,31.98,10.59,-5.46,17.38,5.67,11.71,7.1,1.65,3.71,0.51,3.2,1.67,3.03,0.73,2.3
12/31/1987,Kathmandu,27.7,85.3,0.0,84.39,3.07,31.38,11.13,-5.21,18.1,7.35,10.76,7.59,1.56,4.11,0.35,3.76,1.59,3.43,0.44,2.99
1/1/1988,Kathmandu,27.7,85.3,0.0,84.49,3.27,33.13,11.26,-4.43,17.95,7.62,10.33,7.99,1.38,3.43,0.48,2.96,1.37,2.82,0.63,2.19
1/2/1988,Kathmandu,27.7,85.3,0.0,84.53,3.58,34.98,11.85,-3.43,18.69,8.06,10.63,8.22,1.46,3.81,0.36,3.45,1.43,3.13,0.5,2.63
1/3/1988,Kathmandu,27.7,85.3,0.0,84.37,3.5,34.17,11.81,-3.77,18.13,8.3,9.83,8.24,1.53,3.6,0.77,2.84,1.63,3.13,0.92,2.2
1/4/1988,Kathmandu,27.7,85.3,0.0,84.33,3.56,33.99,12.15,-3.4,18.03,9.21,8.82,9.05,1.16,3.28,0.28,2.99,1.14,2.7,0.33,2.38
1/5/1988,Kathmandu,27.7,85.3,0.0,84.45,3.97,42.58,10.41,-1.99,14.58,6.55,8.03,7.36,0.87,2.22,0.19,2.02,0.97,1.91,0.25,1.67
1/6/1988,Kathmandu,27.7,85.3,0.02,84.21,3.66,42.31,9.23,-3.4,15.67,5.65,10.02,6.57,1.71,4.21,0.49,3.73,1.84,3.78,0.65,3.14
1/7/1988,Kathmandu,27.7,85.3,0.09,84.17,3.75,45.22,8.6,-3.08,15.24,4.73,10.51,6.2,1.97,4.34,0.46,3.88,2.1,3.78,0.57,3.21
1/8/1988,Kathmandu,27.7,85.3,0.0,84.28,3.81,45.98,8.62,-2.89,15.69,3.95,11.74,6.31,1.94,5.07,0.28,4.79,2.03,4.6,0.29,4.31
1/9/1988,Kathmandu,27.7,85.3,0.0,84.35,3.94,48.17,8.46,-2.06,14.99,4.13,10.87,6.37,1.78,3.93,0.17,3.77,1.81,3.11,0.28,2.82
1/10/1988,Kathmandu,27.7,85.3,0.0,84.34,4.0,45.69,9.45,-1.94,16.11,5.62,10.49,6.76,1.86,4.87,0.48,4.39,1.92,4.27,0.56,3.7
1/11/1988,Kathmandu,27.7,85.3,0.0,84.51,3.99,43.26,10.25,-2.14,17.03,6.11,10.92,7.64,1.58,3.93,0.41,3.52,1.6,3.23,0.55,2.68
1/12/1988,Kathmandu,27.7,85.3,0.45,84.47,4.73,50.56,10.44,0.37,16.14,7.05,9.08,8.68,1.67,3.7,0.47,3.22,1.87,3.44,0.51,2.92
1/13/1988,Kathmandu,27.7,85.3,0.12,84.22,5.33,62.04,9.12,1.73,14.49,5.89,8.61,8.12,1.62,3.44,0.43,3.01,1.76,2.92,0.17,2.74
1/14/1988,Kathmandu,27.7,85.3,0.21,84.1,5.53,64.63,9.05,1.93,15.72,5.21,10.51,8.31,2.23,4.81,0.69,4.12,2.45,4.37,0.96,3.4
1/15/1988,Kathmandu,27.7,85.3,0.08,84.23,4.91,56.93,9.2,0.45,16.4,4.85,11.55,7.69,2.05,4.56,0.85,3.71,2.25,4.14,1.13,3.01
1/16/1988,Kathmandu,27.7,85.3,0.0,84.26,4.16,48.83,9.04,-1.74,15.21,5.25,9.96,7.18,1.95,4.19,0.48,3.71,2.09,3.76,0.47,3.3
1/17/1988,Kathmandu,27.7,85.3,0.0,84.33,3.29,40.25,8.45,-4.95,16.09,2.07,14.03,6.3,1.95,4.17,0.6,3.57,1.92,3.37,0.85,2.52
1/18/1988,Kathmandu,27.7,85.3,0.0,84.3,3.32,37.88,9.47,-4.53,16.56,5.47,11.09,6.61,1.85,4.53,0.6,3.93,1.86,3.78,0.79,2.99
1/19/1988,Kathmandu,27.7,85.3,0.0,84.1,3.44,39.08,9.5,-4.08,16.64,5.34,11.3,6.69,1.96,5.02,0.58,4.44,2.02,4.38,0.73,3.65
1/20/1988,Kathmandu,27.7,85.3,0.0,84.15,3.31,36.81,9.81,-4.61,16.69,5.85,10.85,6.77,1.79,4.33,0.64,3.69,1.8,3.49,0.81,2.68
1/21/1988,Kathmandu,27.7,85.3,0.0,84.03,3.1,33.76,10.11,-5.3,16.97,6.17,10.8,6.86,1.71,4.23,0.41,3.82,1.74,3.44,0.5,2.94
1/22/1988,Kathmandu,27.7,85.3,0.0,83.98,2.69,30.0,9.76,-7.04,17.28,5.08,12.21,6.78,2.26,4.84,0.9,3.94,2.54,4.61,1.23,3.38
1/23/1988,Kathmandu,27.7,85.3,0.0,83.95,2.42,25.67,10.48,-8.46,18.24,6.64,11.6,6.71,2.08,4.94,0.76,4.18,2.34,4.86,0.97,3.89
1/24/1988,Kathmandu,27.7,85.3,0.0,83.84,2.28,25.57,9.62,-9.13,17.12,5.25,11.87,6.2,2.18,5.01,0.95,4.06,2.43,4.8,1.15,3.66
1/25/1988,Kathmandu,27.7,85.3,0.0,83.82,2.22,26.95,8.47,-9.24,15.82,4.33,11.5,5.86,2.05,4.73,0.63,4.1,2.25,4.53,0.94,3.59
1/26/1988,Kathmandu,27.7,85.3,0.0,84.06,2.16,26.44,8.42,-9.37,15.98,4.2,11.79,5.38,1.98,4.6,0.55,4.05,2.11,4.13,0.62,3.51
1/27/1988,Kathmandu,27.7,85.3,0.0,84.1,2.17,25.82,8.78,-9.39,16.19,4.68,11.51,5.57,2.04,4.68,0.54,4.14,2.13,4.02,0.58,3.44
1/28/1988,Kathmandu,27.7,85.3,0.0,84.07,2.17,25.53,8.96,-9.38,16.84,3.64,13.2,5.94,1.96,4.31,0.81,3.49,2.05,3.79,0.91,2.88
1/29/1988,Kathmandu,27.7,85.3,0.0,83.92,2.81,31.72,9.55,-6.62,16.81,4.82,11.99,6.79,1.99,4.88,0.38,4.5,2.12,4.31,0.3,4.01
1/30/1988,Kathmandu,27.7,85.3,0.0,84.13,3.17,34.37,10.2,-5.3,17.42,5.45,11.97,7.41,1.78,4.58,0.56,4.02,1.75,3.79,0.62,3.16
1/31/1988,Kathmandu,27.7,85.3,0.0,84.1,2.85,30.73,10.27,-6.45,17.84,5.4,12.44,7.51,2.07,4.52,0.66,3.86,2.14,3.87,0.83,3.05
2/1/1988,Kathmandu,27.7,85.3,0.0,84.1,2.74,28.29,10.94,-6.8,18.33,5.88,12.45,7.89,1.82,4.63,0.62,4.0,1.76,3.78,0.54,3.24
2/2/1988,Kathmandu,27.7,85.3,0.0,84.12,2.78,28.26,11.17,-6.59,18.97,6.59,12.38,8.13,2.04,4.74,0.75,3.99,2.11,4.07,0.99,3.08
2/3/1988,Kathmandu,27.7,85.3,0.0,84.13,2.24,23.12,10.94,-9.2,20.73,3.14,17.59,8.47,2.12,4.3,0.58,3.71,2.07,3.76,0.57,3.19
2/4/1988,Kathmandu,27.7,85.3,0.0,84.13,2.27,20.87,12.72,-8.94,21.71,6.12,15.59,9.36,2.15,4.15,0.92,3.24,2.13,3.23,1.25,1.99
2/5/1988,Kathmandu,27.7,85.3,0.0,84.05,2.54,22.01,13.57,-7.51,21.35,8.96,12.4,9.8,1.75,4.43,0.1,4.33,1.69,3.54,0.26,3.29
2/6/1988,Kathmandu,27.7,85.3,0.0,84.14,2.66,23.95,13.02,-7.05,20.65,8.8,11.86,9.57,2.01,4.65,0.5,4.15,2.03,3.82,0.74,3.08
2/7/1988,Kathmandu,27.7,85.3,0.0,84.01,2.7,24.68,12.73,-6.93,20.13,8.69,11.44,9.46,1.97,4.25,0.65,3.6,2.04,3.57,0.81,2.76
2/8/1988,Kathmandu,27.7,85.3,0.0,83.95,2.55,23.95,12.32,-7.62,19.74,7.95,11.79,9.14,1.99,4.33,0.59,3.74,2.02,3.63,0.76,2.87
2/9/1988,Kathmandu,27.7,85.3,0.0,84.08,2.5,23.36,12.42,-7.76,19.64,8.49,11.14,9.24,2.0,4.56,0.37,4.19,2.04,4.06,0.56,3.5
2/10/1988,Kathmandu,27.7,85.3,0.0,84.16,2.57,23.95,12.48,-7.44,19.99,7.54,12.45,9.57,2.11,4.63,0.49,4.14,2.18,4.04,0.64,3.4
2/11/1988,Kathmandu,27.7,85.3,0.0,84.12,2.79,25.68,12.69,-6.42,19.87,8.3,11.57,9.93,2.22,4.72,0.64,4.08,2.34,4.13,0.91,3.22
2/12/1988,Kathmandu,27.7,85.3,0.0,84.13,2.94,26.97,12.74,-5.78,20.88,6.45,14.43,10.82,2.52,5.14,0.44,4.71,2.85,4.98,0.75,4.24
2/13/1988,Kathmandu,27.7,85.3,0.01,84.14,4.15,39.68,12.07,-1.45,18.82,7.84,10.98,11.01,2.15,5.3,0.79,4.51,2.59,5.24,1.12,4.13
2/14/1988,Kathmandu,27.7,85.3,0.18,84.11,3.99,41.76,10.72,-2.21,17.03,6.29,10.74,9.48,2.01,4.01,0.63,3.38,2.39,3.83,1.0,2.83
2/15/1988,Kathmandu,27.7,85.3,0.17,83.99,4.96,52.25,10.58,0.66,17.11,5.0,12.11,11.05,2.38,4.98,0.76,4.22,2.71,4.64,0.88,3.76
2/16/1988,Kathmandu,27.7,85.3,0.0,84.06,4.28,43.69,11.09,-1.08,16.62,7.31,9.31,9.76,1.86,4.25,0.34,3.91,1.96,3.94,0.54,3.4
2/17/1988,Kathmandu,27.7,85.3,0.0,84.21,3.18,34.78,10.06,-4.99,17.37,4.79,12.58,9.6,2.39,4.2,0.92,3.28,2.55,3.74,0.88,2.87
2/18/1988,Kathmandu,27.7,85.3,0.0,84.28,2.65,26.7,11.34,-7.26,19.84,3.87,15.97,9.79,2.56,5.74,1.0,4.74,2.67,5.4,1.26,4.14
2/19/1988,Kathmandu,27.7,85.3,0.0,84.31,2.88,25.92,13.06,-5.97,20.44,8.4,12.04,11.54,2.04,5.23,0.27,4.96,1.99,4.3,0.38,3.92
2/20/1988,Kathmandu,27.7,85.3,0.0,84.32,3.19,29.99,12.37,-4.64,18.75,7.87,10.88,10.8,1.87,4.46,0.35,4.1,1.83,3.53,0.47,3.06
2/21/1988,Kathmandu,27.7,85.3,0.0,84.21,4.24,37.94,13.12,-1.1,19.6,7.93,11.67,13.44,2.07,4.5,0.25,4.25,2.15,3.7,0.38,3.32
2/22/1988,Kathmandu,27.7,85.3,0.0,84.04,4.71,41.68,13.24,0.26,20.52,6.73,13.79,13.36,2.45,4.73,0.25,4.48,2.77,4.46,0.36,4.1
2/23/1988,Kathmandu,27.7,85.3,1.43,83.98,4.85,46.73,11.93,0.61,17.13,7.67,9.46,11.27,1.83,2.64,0.22,2.42,2.23,3.82,0.28,3.53
2/24/1988,Kathmandu,27.7,85.3,0.38,83.84,4.98,49.17,11.53,0.96,17.86,6.59,11.27,11.89,2.71,5.61,0.59,5.01,3.06,5.31,1.01,4.3
2/25/1988,Kathmandu,27.7,85.3,0.0,83.86,3.78,38.82,10.95,-2.79,18.04,5.93,12.11,10.79,2.47,5.69,0.77,4.92,2.6,5.16,1.06,4.1
2/26/1988,Kathmandu,27.7,85.3,0.0,83.99,3.08,30.22,11.7,-5.11,18.81,6.29,12.52,10.5,1.96,4.95,0.18,4.77,2.01,4.24,0.05,4.19
2/27/1988,Kathmandu,27.7,85.3,0.0,84.0,3.2,28.64,13.06,-4.61,20.61,6.59,14.02,12.4,2.16,5.26,0.55,4.71,2.21,4.58,0.76,3.82
2/28/1988,Kathmandu,27.7,85.3,0.11,84.06,3.57,30.89,13.58,-3.31,20.74,7.74,13.0,13.18,2.3,4.2,0.6,3.6,2.47,3.79,0.69,3.09
2/29/1988,Kathmandu,27.7,85.3,0.02,84.0,5.42,47.41,13.39,1.97,20.02,7.77,12.24,13.5,2.22,4.52,1.01,3.52,2.57,4.1,1.45,2.65
3/1/1988,Kathmandu,27.7,85.3,1.25,83.86,4.98,43.09,13.54,0.75,21.09,7.69,13.4,13.92,2.66,5.31,0.5,4.82,3.06,5.16,0.76,4.4
3/2/1988,Kathmandu,27.7,85.3,4.22,83.83,4.48,42.13,12.26,-0.77,19.61,7.24,12.38,12.18,2.55,5.21,0.51,4.7,2.79,4.65,0.71,3.94
3/3/1988,Kathmandu,27.7,85.3,0.83,83.95,3.3,29.62,13.03,-4.69,21.58,6.24,15.35,11.85,2.39,6.08,0.61,5.47,2.46,5.41,0.85,4.55
3/4/1988,Kathmandu,27.7,85.3,0.0,84.03,3.39,28.62,13.96,-4.07,21.27,8.91,12.35,12.63,2.25,4.99,0.56,4.43,2.23,4.43,0.6,3.83
3/5/1988,Kathmandu,27.7,85.3,0.0,83.95,3.53,30.45,13.61,-3.46,21.07,8.2,12.87,12.65,2.52,6.04,0.59,5.45,2.65,5.44,0.61,4.83
3/6/1988,Kathmandu,27.7,85.3,0.0,83.9,3.75,30.7,14.43,-2.75,21.86,8.86,13.0,13.41,2.5,5.37,0.63,4.74,2.55,4.64,0.8,3.84
3/7/1988,Kathmandu,27.7,85.3,0.0,84.15,4.2,32.58,15.3,-1.37,22.91,8.97,13.94,14.54,2.56,5.7,0.25,5.45,2.65,4.97,0.51,4.46
